super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,4,.30326933,.2705799
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,5,.34101921,.30538216
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,1,.062969223,.19617638
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,2,.11771846,.20230126
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,3,.18344226,.23381793
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,4,.2818532,.26947555
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,5,.3540169,.30577892
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,.1640186,.1175501
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,.1747461,.16069856
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,.21986827,.1862324
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,.26280379,.23930818
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,.17856315,.24140435
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,1,.26990733,.048730936
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,2,.29609391,.089742854
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,3,.21190222,.085325606
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,4,.15714025,.11381348
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,5,.064956464,.17513689
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,1,.18898329,.16600493
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,2,.22520447,.17594206
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,3,.19635898,.2415781
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,4,.206406,.31355387
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,5,.18304738,.31842345
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,1,.32667789,.03611416
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,2,.23901823,.024615278
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,3,.167437,.067616828
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,4,.16681309,.056868117
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,5,.10005391,.13794576
2906,Appalachian State University,Public,Selective public,Four-year,NC,1,.035452351,.15233073
2906,Appalachian State University,Public,Selective public,Four-year,NC,2,.080750085,.19811933
2906,Appalachian State University,Public,Selective public,Four-year,NC,3,.15510227,.21497703
2906,Appalachian State University,Public,Selective public,Four-year,NC,4,.26795709,.25803453
